index,Title,docking score,glide gscore,eos,pubchem,zinc,smiles,formula
99,EOS858,-3.49,-3.49,EOS858,CID53000781,ZINC000035535235,COc1ccc2c(=O)c(C(=O)c3ccncc3)cn(CC(=O)Nc3ccc4c(c3)OCO4)c2c1,C25H19N3O6
100,EOS100411,-3.478,-3.479,EOS100411,CID72188643,ZINC000103251492,CN(CC(=O)N(Cc1ccc(C2CCCCC2)cc1)c1ccc(C(=O)O)cc1)S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F,C29H27F5N2O5S
101,ZINC000004175630,-3.468,-3.477,,,,Oc1nc2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,
102,EOS698,-3.451,-3.451,EOS698,CID20996205,ZINC000015841814,O=S(=O)(c1ccc2c(c1)OCO2)N1CCc2cc3ccccc3nc21,C18H14N2O4S
103,EOS101102,-3.41,-3.41,EOS101102,CID25021165,ZINC000043202741,O=C(Oc1ccc([N+](=O)[O-])cc1)N1CCC(C(O)(c2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)CC1,C27H24N2O9
104,EOS759,-3.406,-3.466,EOS759,CID20949380,,O=C(NCc1ccccc1)C1CCCN(S(=O)(=O)c2ccc3[nH]c(=O)oc3c2)C1,C20H21N3O5S
105,EOS101133,-2.45,-2.46,EOS101133,CID6604176,,CS(=O)(=O)O.Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,C28H30N2O6S
106,EOS101097,-1.918,-1.922,EOS101097,CID60838,ZINC000001612996,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,C33H38N4O6
107,ZINC000001612996,-1.918,-1.922,,,,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,
108,EOS1122,-1.74,-1.74,EOS1122,CID20974121,,CC1Cc2ccccc2N1S(=O)(=O)c1ccc2c(c1)c(=O)n(CC(=O)N1CCCC1)c(=O)n2C,C24H26N4O5S
