SMILES,proteinID,ligandID,mean,median,max,min,var
CC1=CN=NN1C1=CC=CC(NC(=O)C2=CN(C3=CC=CC=C3F)C(=O)C=C2)=C1,7RDY-no-extra,566,-8.243181818181817,-8.1,-7.8,-8.8,0.09880355276907
O=S(=O)(NC1=CC=C(C2=CC=C(F)C=C2)N=N1)C1=CC=C(F)C2=CN=CC=C12,7RDY-no-extra,786,-8.240909090909092,-8.4,-7.3,-8.8,0.1693416927899683
N#CC1=CC(CC2=CN=C(NC(=O)C3=NN(C4=CC(F)=CC=C4)C=CC3=O)S2)=CC=C1,7RDY-no-extra,99,-8.240909090909092,-8.3,-7.5,-9.0,0.2824451410658306
CC1=CC=C(OC2=CC=C(NC(=O)C3=CC=CC(C4=NNC(=O)C=C4)=C3)C=C2)N=N1,7RDY-zinc,43,-8.238636363636363,-8.3,-7.5,-8.7,0.101018808777429
CC1=CN2C=C(C(=O)NCC3=CC=C(NC(=O)C4=CC=CC=C4O)C=C3)C=CC2=N1,7RDY-zinc,91,-8.23409090909091,-8.0,-7.7,-9.0,0.1822727272727274
O=C(NC1=CC(=O)NC2=CC=NC=C12)C1=CC=C(C2=CC=CC=C2)C(F)=C1,7RDY-zinc,134,-8.232954545454545,-8.25,-7.6,-8.9,0.2015451933124346
O=C(NCC1=NC=CC=C1C1=CC=C(F)C=C1)C1=CC(=O)C2=CC=C(O)C=C2O1,7RDY-no-extra,497,-8.228409090909091,-8.2,-6.8,-8.8,0.1310227272727268
O=C(CC1=CC=C(OCC2=CC=C(F)C=C2)C=C1)NC1=NC=CC2=NC=NC=C12,7RDY-no-extra,71,-8.227272727272727,-8.15,-7.7,-8.9,0.1923510971786837
CC(OC(=O)COC1=CC=CC(OC2=CC=CC=N2)=C1)C(=O)C1=CC=C2C(=C1)CC(=O)N2C,7RDY-no-extra,577,-8.227272727272727,-8.2,-6.0,-9.6,0.8068338557993723
N#CC1=CC(N2C=CC(C(=O)NC(C(N)=O)C3=CC=C4C=CC=CC4=C3)=N2)=CC=C1,7RDY-no-extra,926,-8.227272727272727,-8.149999999999999,-6.8,-9.6,0.7762591431556947
CC1=CC=C2N=CC(COC(=O)C3=NN(C4=CC=CC=C4F)C=CC3=O)=CC2=C1,7RDY-zinc,39,-8.226136363636364,-8.5,-7.0,-8.9,0.3231021421107635
O=C(NCC1=NOC(C2=CC=C(F)C=C2)=N1)C1=CNC2=C(C=C(F)C(F)=C2)C1=O,7RDY-zinc,346,-8.225,-7.8,-7.4,-9.7,0.7241954022988549
