proteinID,ligandID,mean,median,max,min,var
7RDY-no-extra,998,-8.052272727272728,-8.05,-7.8,-8.4,0.06534355179704061
7RDY-no-extra,141,-8.049999999999999,-8.0,-7.3,-8.5,0.060697674418604554
7RDY-zinc,789,-8.049999999999999,-8.1,-6.6,-8.7,0.4537209302325566
7RDY-no-extra,85,-8.049999999999999,-8.05,-7.5,-8.6,0.3095348837209295
7RDY-no-extra,289,-8.047727272727274,-8.2,-6.5,-8.5,0.21325052854122634
7RDY-zinc,808,-8.047727272727272,-8.05,-7.3,-8.7,0.3220877378435516
7RDY-no-extra,812,-8.043181818181818,-8.15,-7.6,-8.6,0.1927431289640591
7RDY-no-extra,297,-8.043181818181818,-7.949999999999999,-7.6,-8.6,0.14948731501057125
7RDY-zinc,288,-8.043181818181818,-8.1,-7.3,-8.7,0.2866966173361527
7RDY-zinc,31,-8.043181818181818,-8.05,-7.8,-8.2,0.025766384778012623
7RDY-no-extra,733,-8.040909090909091,-8.0,-7.4,-8.3,0.022008456659619386
7RDY-zinc,880,-8.040909090909091,-8.05,-6.9,-8.9,0.5778224101479921
7RDY-zinc,883,-8.038636363636364,-8.05,-7.9,-8.2,0.017774841437631785
7RDY-zinc,825,-8.036363636363637,-8.05,-7.4,-8.7,0.1986469344608886
7RDY-no-extra,777,-8.036363636363637,-8.3,-7.2,-8.7,0.17120507399577195
7RDY-no-extra,197,-8.036363636363637,-8.100000000000001,-6.7,-8.4,0.13306553911205132
7RDY-no-extra,892,-8.034090909090908,-8.05,-7.0,-8.4,0.13625264270613108
7RDY-zinc,795,-8.031818181818183,-7.95,-7.3,-8.8,0.5389640591966174
7RDY-zinc,331,-8.031818181818181,-8.0,-7.5,-8.2,0.038498942917547394
7RDY-zinc,818,-8.031818181818181,-7.9,-7.3,-8.6,0.18733615221987293
7RDY-no-extra,645,-8.030188679245283,-8.4,-7.1,-9.3,0.519071117561685
7RDY-zinc,665,-8.029545454545454,-8.05,-7.6,-8.4,0.0546881606765328
7RDY-no-extra,194,-8.029545454545454,-7.9,-7.6,-8.3,0.06399048625792828
7RDY-no-extra,37,-8.027272727272727,-8.05,-7.7,-8.3,0.07737843551797075
7RDY-zinc,834,-8.027272727272727,-8.1,-7.5,-8.2,0.04621564482029585
7RDY-no-extra,977,-8.027272727272727,-8.0,-7.3,-8.7,0.45830866807610926
7RDY-zinc,912,-8.027027027027026,-7.7,-7.4,-8.6,0.22147147147147137
7RDY-zinc,764,-8.025,-8.0,-7.9,-8.3,0.01773255813953474
7RDY-no-extra,283,-8.025,-7.95,-7.3,-8.6,0.16005813953488374
7RDY-no-extra,234,-8.025,-8.05,-7.7,-8.3,0.013546511627907014
7RDY-zinc,518,-8.022727272727273,-8.0,-7.8,-8.2,0.018076109936574766
