EOS,Affinity,Smile
EOS169,-7.786,COc1ccc(NC(=O)Cn2ccc3c(cnc4ccnn43)c2=O)c(OC)c1
EOS170,-7.206,Cn1c(=O)cc(C(=O)Nc2ccncc2)c2ccccc21
EOS171,-6.751,CC[C@@H](C)[C@@H](CO)NC(=O)Cc1nn(C(C)C)c(=O)c2ccccc12
EOS172,-7.729,Cc1nn(-c2ccccc2)c(C)c1CC(=O)Nc1ccccn1
EOS173,-7.264,COc1cc2ncn(CCC(=O)Nc3ccc(NC(C)=O)cc3)c(=O)c2cc1OC
EOS174,-7.997,O=C(CC1NC(=O)N(c2cccc3ccccc23)C1=O)NCc1ccccn1
EOS184,-6.374,CC(C)(C)C(=O)NCCc1csc(-c2cccnc2)n1
EOS185,-7.037,O=C(NCCc1csc(-c2cccnc2)n1)NC1CCCCC1
EOS186,-7.355,O=C(NCCc1csc(-c2ccncc2)n1)C1CCCCC1
EOS187,-7.175,CC(C)CNC(=O)C1CCN(C(=O)C2CC(=O)N(c3ccccc3)C2)CC1
EOS188,-7.939,O=C(NCc1ccccc1)C1CCN(C(=O)C2CC(=O)N(c3ccccc3)C2)CC1
EOS189,-8.378,CC(=O)Nc1ccc(NC(=O)C2CCN(C(=O)C3CC(=O)N(c4ccccc4)C3)CC2)cc1
EOS190,-7.386,COc1ccc(CCNC(=O)C2CCN(C(=O)C3CC(=O)N(c4ccccc4)C3)CC2)cc1
EOS191,-7.366,COc1ccccc1N1CCN(C2OC(=O)c3c2ccc(OC)c3OC)CC1
EOS192,-7.086,Cc1c(NC(=O)C2=C(c3ccccc3)S(=O)(=O)CCO2)c(=O)n(-c2ccccc2)n1C
EOS193,-6.811,COc1ccc(NC(=O)C2=C(c3ccccc3)S(=O)(=O)CCO2)c(OC)c1
EOS194,-7.266,COc1ccc(CCNC(=O)C2=C(c3ccccc3)S(=O)(=O)CCO2)cc1OC
EOS195,-7.567,O=C(Nc1cccc2cccnc12)C1=C(c2ccccc2)S(=O)(=O)CCO1
EOS196,-7.012,CN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)C2CCS(=O)(=O)C2)cc1
EOS197,-7.398,CCN(CCc1ccncc1)C(=O)c1ccc(S(=O)(=O)C2CCS(=O)(=O)C2)cc1
EOS198,-7.962,O=C(c1ccc(S(=O)(=O)C2CCS(=O)(=O)C2)cc1)N1CCCc2ccccc21
EOS199,-7.254,COc1ccc(OC)c(NC(=O)c2ccc(S(=O)(=O)C3CCS(=O)(=O)C3)cc2)c1
EOS200,-7.902,O=C(Nc1ccc(F)c(F)c1)c1ccc(S(=O)(=O)C2CCS(=O)(=O)C2)cc1
EOS201,-7.573,O=C(NCCc1ccc(F)cc1)c1cccc(S(=O)(=O)C2CCS(=O)(=O)C2)c1
EOS202,-7.534,N#Cc1cccc(NC(=O)c2cccc(S(=O)(=O)C3CCS(=O)(=O)C3)c2)c1
EOS203,-7.205,CC(C)NC(=O)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS204,-6.943,CC(C)CNC(=O)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS205,-7.37,O=C(NCCC1=CCCCC1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS206,-6.638,COCCCNC(=O)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS207,-7.21,O=C(NCc1ccco1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS208,-7.636,O=C(NCc1ccc(F)cc1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS209,-7.597,O=C(NCc1ccccn1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS210,-7.41,O=C(NCc1cccnc1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS211,-7.222,O=C(NCc1ccncc1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS212,-7.321,O=C(NCCc1ccccc1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS213,-7.4,COc1ccc(CCNC(=O)c2cc(S(=O)(=O)C3CCS(=O)(=O)C3)ccc2F)cc1
EOS214,-7.429,O=C(c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F)N1CCC2(CC1)OCCO2
EOS215,-7.267,CC(C)(C)NC(=O)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS216,-7.236,CN(C(=O)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F)c1ccccc1
EOS217,-7.223,CC(C)Oc1ccc(NC(=O)c2cc(S(=O)(=O)C3CCS(=O)(=O)C3)ccc2F)cc1
EOS218,-6.464,O=C(Nc1nccs1)C1=C(c2ccccc2)S(=O)(=O)CCO1
EOS219,-6.867,CC(=O)c1sc(NC(=O)C2=C(c3ccccc3)S(=O)(=O)CCO2)nc1C
EOS220,-7.309,O=c1oc2cc(O)ccc2c(O)c1-c1ccccc1
EOS221,-6.746,COc1ccccc1Oc1ccc(NC(=O)c2cccnc2)cn1
EOS222,-6.76,COc1ccccc1Oc1ccc(NC(=O)c2ccncc2)cn1
EOS223,-7.113,COc1ccc(C(=O)Nc2ccc3c(c2)N(C)C(=O)CO3)cc1OC
EOS224,-7.166,CN1C(=O)COc2ccc(NC(=O)CCc3ccccc3)cc21
EOS225,-7.432,O=C(NCCN1CCOCC1)c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F
EOS226,-7.976,O=C(c1cc(S(=O)(=O)C2CCS(=O)(=O)C2)ccc1F)N1CCc2ccccc21
EOS227,-6.862,COc1cccc(OC)c1C(=O)NCCc1ncc2ccccn12
EOS228,-7.614,O=C(NCCc1ncc2ccccn12)c1ccc(S(=O)(=O)N2CCCC2)cc1
EOS229,-7.906,O=C(NCCc1ncc2ccccn12)c1ccc(S(=O)(=O)N2CCCCC2)cc1
EOS230,-7.786,O=C(NCCc1ncc2ccccn12)c1ccc(S(=O)(=O)N2CCOCC2)cc1
EOS231,-7.083,O=C(NCCc1ncc2ccccn12)Nc1ccc(Cl)cc1
EOS232,-5.858,CN(Cc1ccccc1)C(=O)C1=C(c2ccccc2)S(=O)(=O)CCO1
EOS233,-6.106,Cc1ccsc1CN(CC1CCCO1)C(=O)C1=C(c2ccccc2)S(=O)(=O)CCO1
EOS234,-6.792,Clc1ccccc1-c1nnc(-c2ccncc2)o1
EOS235,-6.803,O=C(NC1CC1)c1cc2occc2n1Cc1ccccc1
EOS236,-5.828,N#CCSc1nc(S(=O)(=O)c2ccccc2)c(Cl)s1
EOS237,-8.243,CN(C)C(CNC(=O)C1=C(c2ccccc2)S(=O)(=O)CCO1)c1ccc(F)cc1.Cl
EOS238,-6.952,O=C(NCCO)c1cc2occc2n1Cc1ccccc1F
EOS239,-7.485,CC(C)C(=O)N1CCN(c2ccccc2NC(=O)c2cccnc2)CC1
EOS240,-7.028,CC(=O)c1ccc(NC(=O)c2cc3occc3n2C)cc1
EOS241,-6.36,COCCCN1COc2ccc3c(=O)c(Oc4ccccc4OC)coc3c2C1
EOS242,-7.613,Cl.Nc1ccc(C(=O)c2ccc3c(c2)OCCO3)cc1
EOS243,-6.923,Cc1cc(C)c2ccc(NC(=O)c3ccco3)nc2n1
EOS265,-8.33,O=C(CN1C(=O)c2cccnc2C1=O)Nc1cccc2ncccc12
EOS266,-7.035,COc1ccc(C(CNC(=O)C2=C(c3ccccc3)SCCO2)N(C)C)cc1.Cl
EOS267,-7.748,CCn1c(N2CCN(C(C)=O)CC2)nc2sc3c(c2c1=O)CCCC3
EOS268,-7.66,CCCn1c(N2CCN(C(=O)CC)CC2)nc2sc3c(c2c1=O)CCCC3
EOS269,-7.039,CC(C)C(=O)N1CCN(c2nc3sc4c(c3c(=O)n2C)CCCC4)CC1
EOS270,-7.504,CCn1c(N2CCN(C(=O)C(C)C)CC2)nc2sc3c(c2c1=O)CCCC3
EOS271,-6.945,CC(=O)N1CCN(c2nc3sc4c(c3c(=O)n2CC(C)C)CCCC4)CC1
EOS272,-7.751,CCC(=O)N1CCN(c2nc3sc4c(c3c(=O)n2C(C)C)CCCC4)CC1
EOS273,-7.439,CCS(=O)(=O)N1CCN(c2nc3sc4c(c3c(=O)n2C(C)C)CCCC4)CC1
EOS274,-7.132,CCCS(=O)(=O)N1CCN(c2nc3sc4c(c3c(=O)n2C(C)C)CCCC4)CC1
