EOS,Conformation,Affinity,Smile
EOS437,2,-5.913,CSc1ccccc1NC(=O)c1cc(C)on1
EOS438,1,-6.693,CC(C)Cc1cc(C(=O)Nc2cccc(O)c2)no1
EOS439,4,-7.195,CN(C(=O)Cn1c(=O)n(CCCC(=O)NCc2ccc3c(c2)OCO3)c(=O)c2sccc21)c1ccccc1
EOS440,1,-7.607,CC(=O)Nc1ccc2nc3c(=O)n(C)c(=O)n(C)c3nc2c1
EOS441,4,-6.459,COc1ccc(OC)c(NC(=O)CSC2=NN3CCCC(=O)N=C3S2)c1
EOS442,2,-7.849,COc1ccc(N(C)C(=O)C2CCN(S(=O)(=O)c3cc4c(cc3Br)CCN4C(C)=O)CC2)cc1
EOS443,2,-8.084,COc1ccc(N(C)C(=O)Cn2cc(S(=O)(=O)N3CCN(c4ccccc4F)CC3)c3ccccc3c2=O)c(OC)c1
EOS444,1,-6.348,COc1cc2c(c(OC)c1OC)C(c1ccccc1F)CC(=O)N2
EOS445,1,-5.925,COc1cccc(C2CC(=O)NC3=C2C(=O)CC(C)(C)C3)c1OC(C)C
EOS446,6,-6.071,CCCOc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1OC
EOS447,3,-7.15,CC1Cc2nc(SCC(=O)N3CCOCC3)n(-c3ccccc3)c(=O)c2S1
EOS468,9,-6.701,CC(CCc1ccccc1)NC(=O)CCNS(=O)(=O)c1ccc2c(c1)CCC(=O)N2
EOS469,4,-6.638,CCOc1ccc([C@H]2N(c3ccc(OC)cc3)C(=O)[C@@H]3CCCN32)cc1OC
EOS470,8,-6.659,CN(CC(=O)NCCN1CCN(Cc2ccccc2)CC1)S(=O)(=O)c1cccc2nsnc12
EOS471,2,-7.269,CCc1ccccc1NS(=O)(=O)c1ccc2c(c1)CC(=O)N2
EOS472,5,-7.106,COc1ccc(N(CC(=O)N2CCN(C(=O)c3ccco3)CC2)S(=O)(=O)c2c(C)nn(C)c2C)cc1
EOS473,6,-6.497,COc1ccc(N(CC(=O)Nc2cc(OC)ccc2OC)S(=O)(=O)c2c(C)noc2C)cc1
EOS474,6,-7.843,CC(C)N(CCNC(=O)c1cn(C)c2ccc(S(=O)(=O)N3CCOCC3)cc2c1=O)Cc1ccccc1
EOS475,6,-7.642,CN(C1CCCCC1)S(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)N1CCN(c3ccccn3)CC1)cn2C
EOS476,1,-6.977,CCn1cc(C(=O)NC2CCCCCC2)c(=O)c2cc(S(=O)(=O)N(C)C)ccc21
EOS477,3,-7.915,CCn1cc(C(=O)N2CCN(c3cccc(C)c3)C(C)C2)c(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21
EOS478,6,-7.415,Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)N2CCN(c3ccccn3)CC2)o1
EOS479,1,-6.309,COCCNC(=O)CS(=O)Cc1nc(-c2cccc(C)c2)oc1C
EOS480,2,-6.668,Cc1ccc(-c2nc(CS(=O)(=O)CC(=O)NCCC(C)C)c(C)o2)cc1
EOS481,3,-6.549,CCOc1ccc(CCNC(=O)CN2C(=O)COc3ccc(S(=O)(=O)N(CC)CC)cc32)cc1
EOS598,6,-7.104,CCOc1ccc(N(C(=O)c2ccncc2)S(=O)(=O)c2ccc3c(c2)n(C)c(=O)n3C)cc1
EOS599,2,-7.256,COc1ccccc1C(=O)N(Cc1ccco1)S(=O)(=O)c1ccc2c(c1)n(C)c(=O)n2C
EOS600,7,-6.718,CC(C)CC(=O)N(Cc1ccccc1)S(=O)(=O)c1ccc2c(c1)oc(=O)n2C
EOS601,1,-7.153,Cc1ccc(-c2nc3nc(C)cc(NCCO)n3n2)cc1
EOS602,5,-7.315,Cc1cccc(-c2noc(C(C)NC(=O)c3ccncc3)n2)c1
EOS603,4,-7.187,Cc1ccccc1-c1noc(CNS(=O)(=O)c2ccccc2)n1
EOS604,7,-6.327,CCC(C)NC(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1ccccc1
EOS605,4,-7.089,CS(=O)(=O)N1CCCc2cc(C(=O)N3CCN(c4ccccc4)CC3)ccc21
EOS606,4,-7.817,O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
EOS607,2,-5.828,CN(C)CCNC(=O)c1c(-c2ccccc2)c(-c2ccccc2)nn(C)c1=O
EOS608,1,-6.724,Cc1ccc(-c2nsc(NC(=O)c3ccco3)n2)cc1
